config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
108,center,12,20,"(64,)",0.001,False,0.5474041322890427,0.03848743058637379,0.5091575091575092,0.03548878749725708,0.521265908672346,0.03344542492628203,0.5692825265577482,0.03059378609139103,0.5777777777777778,0.03356401659331824
109,center,12,20,"(64,)",0.001,True,0.5255024100287855,0.018659294213317485,0.5244322344322345,0.01584123097321662,0.5229796216161416,0.015378102270111639,0.5709319541667338,0.015139237617127311,0.5750000000000001,0.018002057495577376
110,center,12,20,"(64,)",0.01,False,0.5474041322890427,0.03848743058637379,0.5091575091575092,0.03548878749725708,0.521265908672346,0.03344542492628203,0.5692825265577482,0.03059378609139103,0.5777777777777778,0.03356401659331824
111,center,12,20,"(64,)",0.01,True,0.5255024100287855,0.018659294213317485,0.5244322344322345,0.01584123097321662,0.5229796216161416,0.015378102270111639,0.5709319541667338,0.015139237617127311,0.5750000000000001,0.018002057495577376
112,center,12,20,"(64,)",0.1,False,0.5378941991985471,0.04167505042604616,0.5003296703296704,0.03095518768296164,0.5117448424788148,0.03153471764993733,0.5605911172202017,0.031216587558128738,0.5694444444444444,0.03491612524993483
113,center,12,20,"(64,)",0.1,True,0.5230141665649323,0.018927329000550587,0.5227655677655678,0.015028407222830449,0.5211250152688592,0.015032310225374046,0.5685631658101521,0.014582571101029538,0.5722222222222222,0.01712337223046936
114,center,12,20,"(128, 64)",0.001,False,0.5359671692894284,0.01708368643981118,0.5008058608058609,0.0091859996368193,0.5087562262006949,0.0076245502712994065,0.567613636314944,0.023001316840343483,0.5805555555555556,0.028327886186626582
115,center,12,20,"(128, 64)",0.001,True,0.5239704549496471,0.05451892409843099,0.5072527472527472,0.04448317171824871,0.5111624886376066,0.046944191660344435,0.5620622295026433,0.051867633114363765,0.5694444444444444,0.054574674178856926
116,center,12,20,"(128, 64)",0.01,False,0.5359671692894284,0.01708368643981118,0.5008058608058609,0.0091859996368193,0.5087562262006949,0.0076245502712994065,0.567613636314944,0.023001316840343483,0.5805555555555556,0.028327886186626582
117,center,12,20,"(128, 64)",0.01,True,0.5231388834204012,0.054420575034822734,0.5072527472527472,0.04448317171824871,0.5110312972052103,0.046931441644784126,0.5625657993375385,0.051920892380659125,0.5694444444444444,0.054574674178856926
118,center,12,20,"(128, 64)",0.1,False,0.5241252809235016,0.03662596016368923,0.5011904761904762,0.041192849989500374,0.5073267583731434,0.03748903387488194,0.55846053780717,0.03788747314082228,0.5638888888888889,0.0415739709641549
119,center,12,20,"(128, 64)",0.1,True,0.5242538580237479,0.060070108456005814,0.508919413919414,0.05140313413475497,0.5127556693956509,0.052944441015148495,0.5658816109156378,0.055133566595903585,0.5722222222222222,0.05786851848888796
120,center,12,30,"(64,)",0.001,False,0.5363828031168779,0.014409767613356552,0.512087912087912,0.006285067463325818,0.5198533705532918,0.004885321154736875,0.5749794196858103,0.004036096170571797,0.5805555555555556,0.003928371006591969
